"ExternalID";"Name";"NameDescription";"Price";"Sku";"Currency";"Categories";"Images";"Unit";"InStock";"IsAvailable";"Alias";"MetaTitle";"MetaDescription";"MetaKeywords";"ShortDescription";"Минимальный заказ";"Кратность"
"salesbox-a74546a6-f4fd-477a-ae3c-727485f967a4";"Lux Bouquet - The Ultimate Luxury Floral Arrangement";"Discover the epitome of elegance with our Lux Bouquet, crafted from the biggest and most luxurious flowers available. This stunning arrangement features a thoughtful selection of premium blooms, designed to impress and captivate. Perfect for any grand occasion, gift or simply to indulge in the beauty of nature, our Lux Bouquet is a statement piece that embodies sophistication and opulence. Elevate your floral gifting experience with flowers that truly stand out and convey your deepest sentiments.";"5525";"a74546a6-f4fd-477a-ae3c-727485f967a4";"UAH";"Букети";"https://d3og57k1dk4307.cloudfront.net/nouvelflowersnow/original/services/56a8707a-f7fe-4194-a946-d42c2d6c1bcf.jpg";"шт";"999";"Available";"lux-bouquet-the-ultimate-luxury-floral-arrangement";"Lux Bouquet - The Ultimate Luxury Floral Arrangement";"Lux Bouquet - The Ultimate Luxury Floral Arrangement. Discover the epitome of elegance with our Lux Bouquet, crafted from the biggest and most luxurious fl";"";"Discover the epitome of elegance with our Lux Bouquet, crafted from the biggest and most luxurious flowers available. This stunning arrangement features a thoughtful selection of premium blooms, designed to impress and captivate. Perfect fo";"1";"1"
"NF-BQT-0001";"Букет Ciel Apricot";"Вишуканий букет у м’якій пастельній палітрі з акцентом на персикові, лавандові та блакитні відтінки. Композиція виглядає свіжо, легко та делікатно, тому ідеально підходить для дня народження, побачення, подяки або просто красивого  жесту без зайвих слів. Стильне пакування підкреслює преміальний характер букета й робить його готовим подарунком без додаткового оформлення. Увага: у разі відсутності окремих квітів у наявності, вони можуть бути замінені на аналогічні або дорожчі за наш рахунок. При цьому ми обов’язково зберігаємо кольорову гаму, стилістику, форму, об’єм та ключові характеристики букета.";"2499";"459dbe7c-6267-4c80-9b4d-28a8100f75e7";"UAH";"Букети";"https://sales-box-photos.s3-eu-central-1.amazonaws.com/nouvelflowersnow/original/services/5eb8c3fb-3147-4721-b3d7-b44c9ed98462.jpg";"шт";"999";"Available";"ciel-apricot";"Букет Ciel Apricot";"Букет Ciel Apricot. Вишуканий букет у м’якій пастельній палітрі з акцентом на персикові, лавандові та блакитні відтінки. Композиція виглядає свіжо, легко т";"";"Вишуканий букет у м’якій пастельній палітрі з акцентом на персикові, лавандові та блакитні відтінки. Композиція виглядає свіжо, легко та делікатно, тому ідеально підходить для дня народження, побачення, подяки або просто красивого жесту без";"1";"1"
"NF-BX-0001";"Квіти в коробці Rosé Jardin";"Об’ємна квіткова композиція у фірмовій коробці Nouvel Amour, створена для яскравого враження з першого погляду. Поєднання ніжно-рожевих квітів і соковитих зелених акцентів виглядає дорого, трендово й дуже фотогенічно. Такий формат особливо зручний як готовий подарунок, адже композиція вже оформлена, стильно подана та не потребує додаткової упаковки, вази та води) 
Увага: у разі відсутності окремих квітів у наявності, вони можуть бути замінені на аналогічні або дорожчі за наш рахунок. При цьому ми обов’язково зберігаємо кольорову гаму, стилістику, форму, об’єм та ключові характеристики букета.";"3840";"73e393e4-e359-48f1-8246-a813771285ec";"UAH";"Квіти в коробках";"https://sales-box-photos.s3-eu-central-1.amazonaws.com/nouvelflowersnow/original/services/20e73f3c-7be6-44ed-9efa-00d8e1214c7b.jpg";"шт";"999";"Available";"rose-jardin";"Квіти в коробці Rosé Jardin";"Квіти в коробці Rosé Jardin. Об’ємна квіткова композиція у фірмовій коробці Nouvel Amour, створена для яскравого враження з першого погляду. Поєднання ніжн";"";"Об’ємна квіткова композиція у фірмовій коробці Nouvel Amour, створена для яскравого враження з першого погляду. Поєднання ніжно-рожевих квітів і соковитих зелених акцентів виглядає дорого, трендово й дуже фотогенічно. Такий формат особливо ";"1";"1"
"NF-BQT-0002";"Букет Vert Élégance";"Елегантний букет у білому та зеленому відтінках з відчуттям свіжості, легкості та дорогого мінімалізму. Така композиція виглядає статусно, делікатно і дуже універсально - підходить як для особливого привітання, так і для бізнес-подарунка. Це букет для тих, хто цінує стриману красу, натуральність і преміальну подачу. Для кого:
Для жінки, керівника, колеги, мами, подруги

Привід:
Привітання, подяка, бізнес-подарунок, день народження, універсальний подарунок 

Увага: у разі відсутності окремих квітів у наявності, вони можуть бути замінені на аналогічні або дорожчі за наш рахунок. При цьому ми обов’язково зберігаємо кольорову гаму, стилістику, форму, об’єм та ключові характеристики букета.";"2360";"a7c9d096-5b37-47c7-ae65-644de9708c3f";"UAH";"Букети";"https://sales-box-photos.s3-eu-central-1.amazonaws.com/nouvelflowersnow/original/services/55539eb3-af4f-40bc-ba18-94f0ad2b91d2.jpg";"шт";"999";"Available";"vert-elegance";"Букет Vert Élégance";"Букет Vert Élégance. Елегантний букет у білому та зеленому відтінках з відчуттям свіжості, легкості та дорогого мінімалізму. Така композиція виглядає стату";"";"Елегантний букет у білому та зеленому відтінках з відчуттям свіжості, легкості та дорогого мінімалізму. Така композиція виглядає статусно, делікатно і дуже універсально - підходить як для особливого привітання, так і для бізнес-подарунка. Ц";"1";"1"
"10685914";"Букет L’Amour Sombre";"Темна сторона романтики - зухвала, стильна, немов ніч у Парижі.Букет, який не намагається сподобатись - він знає, хто він є.⠀Глибокі бордові троянди, благородний антуріум, біла гіпсофіла -це не просто квіти, це ароматна впевненість у коробці елегантності.⠀ Ідеальний для неї, для нього, для себе -якщо хочеться подарунку з вайбом Dior та енергетикою The Weeknd.⠀Оформлений у фірмову упаковку «Nouvel Amour» -лакшері до кінчиків стрічки.";"2875";"7d96d42c-a4d6-47d6-890c-5e429705827d";"UAH";"Букети";"https://www.nouvelamour.kiev.ua/Media/shop-29325/IMG_0060.png";"шт";"999";"Available";"l-amour-sombre";"Букет L’Amour Sombre";"Букет L’Amour Sombre. Темна сторона романтики - зухвала, стильна, немов ніч у Парижі.Букет, який не намагається сподобатись - він знає, хто він є.⠀Глибокі ";"";"Темна сторона романтики - зухвала, стильна, немов ніч у Парижі.Букет, який не намагається сподобатись - він знає, хто він є.⠀Глибокі бордові троянди, благородний антуріум, біла гіпсофіла -це не просто квіти, це ароматна впевненість у коробц";"1";"1"
"10686116";"Кулька Happy Birthday фольгована";"Кулька з гелієм з написом ""Happy Birthday"" - це чудовий вибір для святкування дня народження. Вони додають атмосфері свята особливого шарму та радості.";"250";"c3f2fd54-5716-4fd5-a0f7-cac98ce21a5f";"UAH";"Повітряні Кульки";"https://www.nouvelamour.kiev.ua/Media/shop-29325/SparklingFizzRoseGold.jpg";"шт";"999";"Available";"happy-birthday";"Кулька Happy Birthday фольгована";"Кулька Happy Birthday фольгована. Кулька з гелієм з написом ""Happy Birthday"" - це чудовий вибір для святкування дня народження. Вони додають атмосфері свят";"";"Кулька з гелієм з написом ""Happy Birthday"" - це чудовий вибір для святкування дня народження. Вони додають атмосфері свята особливого шарму та радості.";"1";"1"
"10833611";"Арома Лампа White";"Арома лампаWhite Арома лампа White - це стильний і функціональний аксесуар для вашого дому. Її дизайн включає керамічну тарілочку, що служить для нагрівання ароматичних олій або саше, наповнюючи приміщення приємним ароматом. Особливості арома лампи: 1 Кераміка відзначається своєю довговічністю та естетичністю. 2. Сучасний та мінімалістичний вигляд підходить до будь-якого інтер'єру. 3. Підходить як для рідких ароматичних олій, так і сухих саше. 4. Нагріваючи тарілочку з аромамаслом або саше, вона поступово випускає насичені запахи в повітря. 5. Простота конструкції робить її безпечною у використанні вдома чи в офісі. Спосіб застосування: - Налийте кілька крапель вашої улюбленої ефірної олії на керамічну тарілочку або помістіть зверху саше. - запаліть свічку всередині підставки, щоб почати процес нагрівання. - Насолоджуйтеся атмосферою затишку й релаксації завдяки обраному аромату. Цей виріб стане чудовим подарунком як собі, так і близьким людям!";"474";"f250fda3-29fb-49b4-9d32-ffd6a689b9d9";"UAH";"Декор та подарунки";"https://www.nouvelamour.kiev.ua/Media/shop-29325/мак/IMG_4572.jpeg";"шт";"999";"Available";"shop/aroma-lampa-white";"Арома Лампа White";"Арома Лампа White. Арома лампаWhite Арома лампа White - це стильний і функціональний аксесуар для вашого дому. Її дизайн включає керамічну тарілочку, що сл";"";"Арома лампаWhite Арома лампа White - це стильний і функціональний аксесуар для вашого дому. Її дизайн включає керамічну тарілочку, що служить для нагрівання ароматичних олій або саше, наповнюючи приміщення приємним ароматом. Особливості аро";"1";"1"
"10929776";"Jardin Rosé - Bouquet lumineux de fleurs tendres";"Jardin Rosé - букет для тонкого жесту уваги. Jardin Rosé - букет для тонкого жесту уваги. Ніжний, збалансований, емоційний. Цей букет - не просто квіти, а мова дотиків, делікатна подяка або знак симпатії. У композиції зустрічаються романтика рожевої гербери, оксамитовість садової троянди та світло гортензії - усе зібрано у щедрий об’єм з пастельною душею. Ідеально для:• ранкового жесту, який скаже більше, ніж слова• “дякую” після зустрічі, яка змінює все• подарунка для жінки, яка живе естетикою Склад композиції: Гербери рожеві (premium) Садові троянди кількох відтінків Гортензія світла Еустома біла Евкаліпт, сезонна зелень Оформлення: Мінімалістичне, у стилі ""blush couture"" - пудрово-рожева флористична плівка + подвійна атласна стрічка кольору перлинного ружу. Доставка: • Експрес-доставка по Києву - 1,5-2 години• Упакування в коробку (на вимогу)• Можливість анонімної доставки Листівка : Можемо підписати від вашого імені або залишити пустою - як побажаєте.";"2445";"0b9f58f2-b71f-4bd2-85ac-71c302fa3995";"UAH";"Букети";"https://www.nouvelamour.kiev.ua/Media/shop-29325/main page/Photoroom_045_20250618_153404.png";"шт";"999";"Available";"jardin-rose-bouquet-lumineux-de-fleurs-tendres";"Jardin Rosé - Bouquet lumineux de fleurs tendres";"Jardin Rosé - Bouquet lumineux de fleurs tendres. Jardin Rosé - букет для тонкого жесту уваги. Jardin Rosé - букет для тонкого жесту уваги. Ніжний, збаланс";"";"Jardin Rosé - букет для тонкого жесту уваги. Jardin Rosé - букет для тонкого жесту уваги. Ніжний, збалансований, емоційний. Цей букет - не просто квіти, а мова дотиків, делікатна подяка або знак симпатії. У композиції зустрічаються романтик";"1";"1"
"10935618";"Velours Violet - Фіолетовий вельвет";"Velours Violet - букет із гіацинтом і гортензією Velours Violet - букет для жінки, яка має смак до глибини.Це витончене поєднання пудрових троянд, гіацинта, фіолетової капусти та кремової гортензії - немов вечірній настрій у квітах. Підкреслено контрастний, з аристократичним звучанням. Ідеальний для:• витонченого побачення• арт-вітання на день народження• особливих випадків, коли «просто букет» - недостатньо Зверніть увагу: у разі відсутності окремих квітів ми можемо здійснити делікатну заміну на еквівалентну за кольором та стилем - без зміни загального вигляду та цінової категорії композиції.";"2817";"9b9babd6-7517-4e0d-ab7c-7a568047be58";"UAH";"Букети";"https://www.nouvelamour.kiev.ua/Media/shop-29325/main page/Photoroom_037_20250618_153404.png";"шт";"999";"Available";"shop/velours-violet-bouquet-hydrangea-hyacinth";"Velours Violet - Фіолетовий вельвет";"Velours Violet - Фіолетовий вельвет. Velours Violet - букет із гіацинтом і гортензією Velours Violet - букет для жінки, яка має смак до глибини.Це витончен";"";"Velours Violet - букет із гіацинтом і гортензією Velours Violet - букет для жінки, яка має смак до глибини.Це витончене поєднання пудрових троянд, гіацинта, фіолетової капусти та кремової гортензії - немов вечірній настрій у квітах. Підкрес";"1";"1"
"10935623";"Haute Amour - Букет у рожевій коробці з піоновими трояндами";"Haute Amour - розкішна композиція у фірмовій рожевій коробці з піоновими трояндами SilvaPink, лізіантусами, евкаліптом і сезонними акцентами.Насичені рожеві відтінки створюють романтичний та статусний образ, який запам’ятовується. Квіткова коробка Nouvel Amour Ідеально для:• освідчення в коханні• дня народження мами або подруги• вдячності “без приводу” У разі відсутності окремих квітів можлива делікатна заміна на рівноцінні - з дотриманням стилю, кольору та вартості.";"4485";"b3c2ca8d-7172-4bcf-9918-02cdb23e7e8f";"UAH";"Квіти в коробках";"https://www.nouvelamour.kiev.ua/Media/shop-29325/main page/IMG_1719.jpg";"шт";"999";"Available";"shop/haute-amour--buket-u-rozheviy-korobtsi-z-pionovimi-troyandami";"Haute Amour - Букет у рожевій коробці з піоновими трояндами";"Haute Amour - Букет у рожевій коробці з піоновими трояндами. Haute Amour - розкішна композиція у фірмовій рожевій коробці з піоновими трояндами SilvaPink, ";"";"Haute Amour - розкішна композиція у фірмовій рожевій коробці з піоновими трояндами SilvaPink, лізіантусами, евкаліптом і сезонними акцентами.Насичені рожеві відтінки створюють романтичний та статусний образ, який запам’ятовується. Квіткова ";"1";"1"
